TLM International Inc.,,,,,,,
Inventory Availability,,,,,,,
  ,,,,,,,
Part,Description,"On
Hand",Allocated,Available,"Available
to Pick","On
Order",Committed
DR-9RC1006,"6-FT Heating Cables for Pipes and Roof De-Icing, 120V, 72W, 6FT",177,0,177,177,0,0
DR-9RC1012,"12-FT Heating Cables for Pipes and Roof De-Icing, 120V, 144W, 12FT",84,0,84,84,0,0
DR-9RC1018,"18-FT Heating Cables for Pipes and Roof De-Icing, 120V, 216W, 18FT",66,0,66,66,0,0
DR-9RC1024,"24-FT Heating Cables for Pipes and Roof De-Icing, 120V, 288W, 24FT",55,0,55,55,0,0
DR-9RC1050,"50-FT Heating Cables for Pipes and Roof De-Icing, 120V, 600W, 50FT",119,0,119,119,0,0
DR-9RC1075,"75-FT Heating Cables for Pipes and Roof De-Icing, 120V, 900W, 75FT",69,0,69,69,0,0
DR-9RC1100,"100-FT Heating Cables for Pipes and Roof De-Icing, 120V, 1200W, 100FT",144,0,144,144,0,0
DR-9RC1125,"125-FT Heating Cables for Pipes and Roof De-Icing, 120V, 1500W, 125FT",39,0,39,39,0,0
DR-9RC2200,"200-FT Heating Cables for Pipes and Roof De-Icing, 240V, 2400W, 200FT",49,0,49,49,0,0
DR-9RC2250,"250-FT Heating Cables for Pipes and Roof De-Icing, 240V, 3000W, 250FT",62,0,62,62,0,0
DR-P130,"Dr Infrared Heater DR-P130 Heavy Duty Electric Fan Unit Heater, 208V/3KW",186,0,186,186,0,0
DR-P2100,"Dr Infrared Heater DR-P2100 208V/240V, 7.5KW/10KW, Unit Heater",159,0,159,159,0,0
DR-P3150,"Dr Infrared Heater DR-P3150 208V/240V, 11.2KW/15KW, Unit Heater",114,0,114,111,0,0
DR-P3200,"Dr. Infrared Heater DR-P3200 480V, 20KW, Three phase Unit Heater",140,0,140,140,0,0
DR-P350,"Dr Infrared Heater DR-P350 480V, 5KW, Three Phase Unit Heater",61,0,60,60,275,0
DR-PS101,"DR-PS101, 9 Feet, 50A Power Cord with NEMA 6-50P Plug","1,148",0,"1,148","1,148",0,0
DR-PS102,"Dr Infrared Heater 15 FT Power Cord, Black",278,0,278,278,0,0
DR-PS103,"Dr Infrared Heater  25 FT Power Cord, Black",123,0,123,123,0,0
DR-PS11024,"DR-PS11024 Salamander, Single Phase, 240-Volt Portable Heater",106,0,98,98,914,0
DR-PS11524,"DR-PS11524 Salamander Construction 15000-Watt, Single Phase, 240-Volt Heater,",412,0,412,412,184,0
DR-PS31520,"Dr. Infrared Heater DR-PS31520 Salamander Construction 15000-Watt, Triple Phase, 208-Volt",0,0,0,0,0,0
DR-RV106,"Dr Infrared Heater 6FT 7-Way RV Cables, Black",726,0,725,725,0,0
DR-RV108,"Dr Infrared Heater 8FT 7-Way RV Cables, Black",483,0,483,483,0,0
DR988 HEATING COIL,HEATING COIL,0,0,0,0,0,0
E973C-41,"Forklift Charger (Used Condition) , Model Number E973C-41",8,0,8,8,0,0
EF3-12-550,Forklift Charger Used Condition Model Number EF3-12-550,1,0,1,1,0,0
EP-AM70,Panasonic Message Chair EP-AM70  (sample),0,0,0,0,0,0
F3NG18/8,"Forklift Charger (Used Condition) , Model Number F3NG18/8",6,0,6,6,0,0
FAN-SFST-CNVKIT,Conversion Kit for Exhaust Fan with SFST,15,0,15,15,0,0
FC4500,"Crown FC4500 four wheel sit down forklift, used condition",1,0,1,1,0,0
FC4525-40,"Crown Forklift (Used Condition) , Model FC4525-40",1,0,1,1,0,0
FREIGHT SHIPPING,FREIGHT SHIPPING,0,0,0,0,0,0
FS3LUE-533,"Forklift Charger (Used Condition) , Model Number FS3LUE-533",3,0,3,3,0,0
I3-BASKET,Basket for i3 scooter,84,0,84,84,0,0
I3-BASKET-HOOK,Hooks for the i3 basket,169,0,169,169,0,0
i3-BATTERY,Battery for i3 scooter,17,0,17,17,48,0
I3-BELL,i3 Bell,453,0,429,429,0,0
I3-BU,"iLIVING i3 Foldable Scooter, 16"" Seat Blue",0,0,0,0,0,0
I3-BU-08NEW,"iLIVING i3 Foldable Scooter Blue 17"" Seat (08 New Seat)",0,0,0,0,0,0
I3-BU-S16-DEMO,"i3 Blue with 16-inch Seat, Demo unit",1,0,1,1,0,0
i3-BU-S16-OB,"iLIVING i3 Foldable Scooter, 16"" Seat, Blue (Open Box)",2,0,2,2,0,0
I3-BU-S17,"iLiving i3 Foldable Electric Scooter Mobility with Upgraded Seat, 17 Inch, Blue",294,0,294,294,0,0
I3-BU-S17-DEMO,"I3 scooter, Blue with 17"" seat , Demo unit",1,0,1,1,0,0
I3-BU-S18,"i3 Foldable Scooter with 18"" Deluxe Seat, Blue",0,0,0,0,0,0
i3-BU-S18-DEMO,18 inches Blue i3 demo,0,0,0,0,0,0
I3-CAR-INVERTER,Car Inverter for i3 and V8 scooters,35,0,35,35,0,0
I3-IGNITION-LOCK,i3 Ignition Lock,8,0,8,8,0,0
i3-KEYS,i3 Keys,60,0,60,60,0,0
I3-PLUG-COVER,i3 Plug Cover,0,0,0,0,0,0
i3-Port-Charger,Portable Charger for i3 scooter,92,0,92,92,0,0
i3-Power-Lift,Power Lift for i3 scooter,78,0,78,78,0,0
i3-Power-Lift-Demo,Power Lift Demo,2,0,2,2,0,0
I3-POWER-LIFT-RAMP,Ramp for i3 scooter Power Lift  (1 Pair),26,0,26,26,0,0
I3-R,"iLIVING i3 Foldable Scooter, 16"" Seat, Burgundy",0,0,0,0,0,0
I3-R-08NEW,"iLIVING i3 Foldable Scooter Burgundy 17"" Seat (08 New Seat)",0,0,0,0,0,0
I3-R-S16-DEMO,"i3 Burgundy with 16-inch Seat, Demo unit",2,0,2,2,0,0
i3-R-S16-OB,"iLIVING i3 Foldable Scooter, 16"" Seat, Burgundy (Open Box)",3,0,3,3,0,0
I3-R-S17,"iLiving i3 Foldable Electric Scooter Mobility with Upgraded Seat, 17 Inch, Burgundy",181,0,181,181,0,0
I3-R-S17-DEMO,I3 burgundy 17 inches demo,1,0,1,1,0,0
i3-R-S17-OB,"iLiving i3 Foldable Electric Scooter Mobility with Upgraded Seat, 17 Inch, Burgundy (Open Box)",0,0,0,0,0,0
I3-R-S18,"i3 Foldable Scooter with 18"" Deluxe Seat, Burgundy",0,0,0,0,0,0
I3-STD-SEAT,"Standard Seat 16"" for i3 scooter",20,0,20,20,0,0
i3-Travel-Case,"Travel Case, for 16-inch i3 scooter",238,0,238,238,0,0
i3-Travel-Deluxe,"Travel Case (Deluxe) , for 17"" or 18""  i3 scooter",0,0,0,0,0,0
i3-V8-TRAVEL,i3 / V8 Travel Bag,28,0,28,28,0,0
i3-V8-TRAVEL-DEMO,travel demo,2,0,2,2,0,0
I3-WALL-CHARGER,iLiving i3 AC Wall Charger,34,0,34,34,0,0
ILG-005CBN,"3/8"" Misting Coupling with Brass Nozzle","7,000",0,"7,000","7,000",0,0
ILG-006EP,"3/8"" Mist End Plug","1,275",0,"1,275","1,275",0,0
ILG-007FHC,"3/8"" Mist Female Hose Connector","1,525",0,"1,525","1,525",0,0
ILG-008TH,"3/8"" Mist Tubing 150 Meter",62,0,62,62,0,0
ILG-250,"iLIVING ILG-250 Misting Kit, 200 PSI, Silver",9,0,9,9,100,0
ILG-325,ILG-325 Premium Power Lift / Recliner Chair,1,0,1,1,0,0
ILG-335,iLiving ILG-335 Portable Power Wheelchair,0,0,0,0,0,0
ILG-511,"Social Distancing Floor Decals, 10"" Round, YELLOW",0,0,0,0,0,0
ILG-54-Solar-C,54 inches solar ceiling fan,0,0,0,0,0,0
ILG-54-Solar-P,54 inches panel solar fan,0,0,0,0,0,0
ILG-54-Solar-S,54 inches solar fan with Shutter,0,0,0,0,0,0
ILG-6001,"12"" Smart Portable and Foldable Powered Wheelchair",0,0,0,0,0,0
ILG-608,"ILG-608 Rotating Shower Chair, Plastic Seat and Backrest, Padded Armrests",435,0,435,435,0,0
ILG-611,iLiving Mobility Steerable Deluxe Knee Walker/Scooter with Basket,179,0,179,179,0,0
